"package"	"afmfile"	"fontfile"	"FullName"	"FamilyName"	"FontName"	"Bold"	"Italic"	"Symbol"	"afmsymfile"
"76"	NA	"Gentium-R.afm.gz"	"/usr/share/fonts/truetype/gentium/Gentium-R.ttf"	"Gentium"	"Gentium"	"Gentium"	FALSE	FALSE	FALSE	NA
"77"	NA	"GentiumAlt-R.afm.gz"	"/usr/share/fonts/truetype/gentium/GentiumAlt-R.ttf"	"GentiumAlt"	"GentiumAlt"	"GentiumAlt"	FALSE	FALSE	FALSE	NA
"78"	NA	"GentiumAlt-I.afm.gz"	"/usr/share/fonts/truetype/gentium/GentiumAlt-I.ttf"	"GentiumAlt Italic"	"GentiumAlt"	"GentiumAlt-Italic"	FALSE	TRUE	FALSE	NA
"79"	NA	"GenBasR.afm.gz"	"/usr/share/fonts/truetype/gentium-basic/GenBasR.ttf"	"Gentium Basic"	"Gentium Basic"	"GentiumBasic"	FALSE	FALSE	FALSE	NA
"80"	NA	"GenBasB.afm.gz"	"/usr/share/fonts/truetype/gentium-basic/GenBasB.ttf"	"Gentium Basic Bold"	"Gentium Basic"	"GentiumBasic-Bold"	TRUE	FALSE	FALSE	NA
"81"	NA	"GenBasBI.afm.gz"	"/usr/share/fonts/truetype/gentium-basic/GenBasBI.ttf"	"Gentium Basic Bold Italic"	"Gentium Basic"	"GentiumBasic-BoldItalic"	TRUE	TRUE	FALSE	NA
"82"	NA	"GenBasI.afm.gz"	"/usr/share/fonts/truetype/gentium-basic/GenBasI.ttf"	"Gentium Basic Italic"	"Gentium Basic"	"GentiumBasic-Italic"	FALSE	TRUE	FALSE	NA
"83"	NA	"GenBkBasR.afm.gz"	"/usr/share/fonts/truetype/gentium-basic/GenBkBasR.ttf"	"Gentium Book Basic"	"Gentium Book Basic"	"GentiumBookBasic"	FALSE	FALSE	FALSE	NA
"84"	NA	"GenBkBasB.afm.gz"	"/usr/share/fonts/truetype/gentium-basic/GenBkBasB.ttf"	"Gentium Book Basic Bold"	"Gentium Book Basic"	"GentiumBookBasic-Bold"	TRUE	FALSE	FALSE	NA
"85"	NA	"GenBkBasBI.afm.gz"	"/usr/share/fonts/truetype/gentium-basic/GenBkBasBI.ttf"	"Gentium Book Basic Bold Italic"	"Gentium Book Basic"	"GentiumBookBasic-BoldItalic"	TRUE	TRUE	FALSE	NA
"86"	NA	"GenBkBasI.afm.gz"	"/usr/share/fonts/truetype/gentium-basic/GenBkBasI.ttf"	"Gentium Book Basic Italic"	"Gentium Book Basic"	"GentiumBookBasic-Italic"	FALSE	TRUE	FALSE	NA
"87"	NA	"Gentium-I.afm.gz"	"/usr/share/fonts/truetype/gentium/Gentium-I.ttf"	"Gentium Italic"	"Gentium"	"Gentium-Italic"	FALSE	TRUE	FALSE	NA
"88"	NA	"GentiumPlus-R.afm.gz"	"/usr/share/fonts/truetype/gentiumplus/GentiumPlus-R.ttf"	"Gentium Plus"	"Gentium Plus"	"GentiumPlus"	FALSE	FALSE	FALSE	NA
"89"	NA	"GentiumPlusCompact-R.afm.gz"	"/usr/share/fonts/opentype/gentiumplus/GentiumPlusCompact-R.ttf"	"Gentium Plus Compact"	"Gentium Plus Compact"	"GentiumPlusCompact"	FALSE	FALSE	FALSE	NA
"90"	NA	"GentiumPlusCompact-I.afm.gz"	"/usr/share/fonts/opentype/gentiumplus/GentiumPlusCompact-I.ttf"	"Gentium Plus Compact Italic"	"Gentium Plus Compact"	"GentiumPlusCompact-Italic"	FALSE	TRUE	FALSE	NA
"91"	NA	"GentiumPlus-I.afm.gz"	"/usr/share/fonts/truetype/gentiumplus/GentiumPlus-I.ttf"	"Gentium Plus Italic"	"Gentium Plus"	"GentiumPlus-Italic"	FALSE	TRUE	FALSE	NA
"92"	NA	"Go-Bold.afm.gz"	"/usr/share/fonts/fonts-go/Go-Bold.ttf"	"Go Bold"	"Go"	"Go-Bold"	TRUE	FALSE	FALSE	NA
"93"	NA	"Go-Bold-Italic.afm.gz"	"/usr/share/fonts/fonts-go/Go-Bold-Italic.ttf"	"Go Bold Italic"	"Go"	"Go-BoldItalic"	TRUE	TRUE	FALSE	NA
"94"	NA	"Go-Italic.afm.gz"	"/usr/share/fonts/fonts-go/Go-Italic.ttf"	"Go Italic"	"Go"	"Go-Italic"	FALSE	TRUE	FALSE	NA
"95"	NA	"Go-Medium.afm.gz"	"/usr/share/fonts/fonts-go/Go-Medium.ttf"	"Go Medium"	"Go Medium"	"GoMedium"	FALSE	FALSE	FALSE	NA
"96"	NA	"Go-Medium-Italic.afm.gz"	"/usr/share/fonts/fonts-go/Go-Medium-Italic.ttf"	"Go Medium Italic"	"Go Medium"	"GoMedium-Italic"	FALSE	TRUE	FALSE	NA
"97"	NA	"Go-Mono.afm.gz"	"/usr/share/fonts/fonts-go/Go-Mono.ttf"	"Go Mono"	"Go Mono"	"GoMono"	FALSE	FALSE	FALSE	NA
"98"	NA	"Go-Mono-Bold.afm.gz"	"/usr/share/fonts/fonts-go/Go-Mono-Bold.ttf"	"Go Mono Bold"	"Go Mono"	"GoMono-Bold"	TRUE	FALSE	FALSE	NA
"99"	NA	"Go-Mono-Bold-Italic.afm.gz"	"/usr/share/fonts/fonts-go/Go-Mono-Bold-Italic.ttf"	"Go Mono Bold Italic"	"Go Mono"	"GoMono-BoldItalic"	TRUE	TRUE	FALSE	NA
"100"	NA	"Go-Mono-Italic.afm.gz"	"/usr/share/fonts/fonts-go/Go-Mono-Italic.ttf"	"Go Mono Italic"	"Go Mono"	"GoMono-Italic"	FALSE	TRUE	FALSE	NA
"101"	NA	"Go-Regular.afm.gz"	"/usr/share/fonts/fonts-go/Go-Regular.ttf"	"Go Regular"	"Go"	"GoRegular"	FALSE	FALSE	FALSE	NA
"102"	NA	"Gubbi.afm.gz"	"/usr/share/fonts/truetype/Gubbi/Gubbi.ttf"	"Gubbi"	"Gubbi"	"Gubbi"	FALSE	FALSE	FALSE	NA
"103"	NA	"JamrulNormal.afm.gz"	"/usr/share/fonts/truetype/fonts-beng-extra/JamrulNormal.ttf"	"Jamrul"	"Jamrul"	"JamrulNormal"	FALSE	FALSE	FALSE	NA
"104"	NA	"Junicode.afm.gz"	"/usr/share/fonts/truetype/junicode/Junicode.ttf"	"Junicode"	"Junicode"	"Junicode"	FALSE	FALSE	FALSE	NA
"105"	NA	"Junicode-Bold.afm.gz"	"/usr/share/fonts/truetype/junicode/Junicode-Bold.ttf"	"Junicode Bold"	"Junicode"	"Junicode-Bold"	TRUE	FALSE	FALSE	NA
"106"	NA	"Junicode-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/junicode/Junicode-BoldItalic.ttf"	"Junicode Bold Italic"	"Junicode"	"Junicode-BoldItalic"	TRUE	TRUE	FALSE	NA
"107"	NA	"Junicode-Italic.afm.gz"	"/usr/share/fonts/truetype/junicode/Junicode-Italic.ttf"	"Junicode Italic"	"Junicode"	"Junicode-Italic"	FALSE	TRUE	FALSE	NA
"108"	NA	"KacstArt.afm.gz"	"/usr/share/fonts/truetype/kacst/KacstArt.ttf"	"KacstArt"	"KacstArt"	"KacstArt"	FALSE	FALSE	FALSE	NA
"109"	NA	"KacstBook.afm.gz"	"/usr/share/fonts/truetype/kacst/KacstBook.ttf"	"KacstBook"	"KacstBook"	"KacstBook"	FALSE	FALSE	FALSE	NA
"110"	NA	"KacstDecorative.afm.gz"	"/usr/share/fonts/truetype/kacst/KacstDecorative.ttf"	"KacstDecorative"	"KacstDecorative"	"KacstDecorative"	FALSE	FALSE	FALSE	NA
"111"	NA	"KacstDigital.afm.gz"	"/usr/share/fonts/truetype/kacst/KacstDigital.ttf"	"KacstDigital"	"KacstDigital"	"KacstDigital"	FALSE	FALSE	FALSE	NA
"112"	NA	"KacstFarsi.afm.gz"	"/usr/share/fonts/truetype/kacst/KacstFarsi.ttf"	"KacstFarsi"	"KacstFarsi"	"KacstFarsi"	FALSE	FALSE	FALSE	NA
"113"	NA	"KacstLetter.afm.gz"	"/usr/share/fonts/truetype/kacst/KacstLetter.ttf"	"KacstLetter"	"KacstLetter"	"KacstLetter"	FALSE	FALSE	FALSE	NA
"114"	NA	"KacstNaskh.afm.gz"	"/usr/share/fonts/truetype/kacst/KacstNaskh.ttf"	"KacstNaskh"	"KacstNaskh"	"KacstNaskh"	FALSE	FALSE	FALSE	NA
"115"	NA	"KacstOffice.afm.gz"	"/usr/share/fonts/truetype/kacst/KacstOffice.ttf"	"KacstOffice"	"KacstOffice"	"KacstOffice"	FALSE	FALSE	FALSE	NA
"116"	NA	"KacstOne.afm.gz"	"/usr/share/fonts/truetype/kacst-one/KacstOne.ttf"	"KacstOne"	"KacstOne"	"KacstOne"	FALSE	FALSE	FALSE	NA
"117"	NA	"KacstOne-Bold.afm.gz"	"/usr/share/fonts/truetype/kacst-one/KacstOne-Bold.ttf"	"KacstOne Bold"	"KacstOne"	"KacstOne-Bold"	TRUE	FALSE	FALSE	NA
"118"	NA	"KacstPen.afm.gz"	"/usr/share/fonts/truetype/kacst/KacstPen.ttf"	"KacstPen"	"KacstPen"	"KacstPen"	FALSE	FALSE	FALSE	NA
"119"	NA	"KacstPoster.afm.gz"	"/usr/share/fonts/truetype/kacst/KacstPoster.ttf"	"KacstPoster"	"KacstPoster"	"KacstPoster"	FALSE	FALSE	FALSE	NA
"120"	NA	"KacstQurn.afm.gz"	"/usr/share/fonts/truetype/kacst/KacstQurn.ttf"	"KacstQurn"	"KacstQurn"	"KacstQurn"	FALSE	FALSE	FALSE	NA
"121"	NA	"KacstScreen.afm.gz"	"/usr/share/fonts/truetype/kacst/KacstScreen.ttf"	"KacstScreen"	"KacstScreen"	"KacstScreen"	FALSE	FALSE	FALSE	NA
"122"	NA	"KacstTitle.afm.gz"	"/usr/share/fonts/truetype/kacst/KacstTitle.ttf"	"KacstTitle"	"KacstTitle"	"KacstTitle"	FALSE	FALSE	FALSE	NA
